ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
28,23,1,4,2,225,26,9,28,264249,95,0,1,1,0,0,2,69,170,24,1
27,23,2,6,2,184,42,7,27,302585,99,0,1,1,0,0,0,58,167,21,1
19,28,3,3,2,291,50,12,32,343253,95,0,1,0,1,0,0,65,169,23,2
15,28,4,4,3,291,31,12,40,326452,96,0,1,1,1,0,1,73,171,25,1
11,13,5,4,3,289,36,13,33,378884,92,0,1,2,1,0,1,90,172,31,8
3,23,6,6,4,179,51,18,38,253465,93,0,1,0,1,0,0,89,170,31,3
11,26,7,3,1,289,36,13,33,239554,97,0,1,2,1,0,1,90,172,31,4
33,23,8,4,1,248,25,14,47,205917,92,0,1,2,0,0,1,86,165,32,2
27,23,9,3,1,184,42,7,27,241476,92,0,1,0,0,0,0,58,167,21,2
3,23,10,3,4,179,51,18,38,253465,93,0,1,0,1,0,0,89,170,31,3
3,23,11,5,4,179,51,18,38,306345,93,0,1,0,1,0,0,89,170,31,1
33,23,12,3,4,248,25,14,47,261306,97,0,1,2,0,0,1,86,165,32,1
34,19,1,2,2,118,10,10,37,264249,95,0,1,0,0,0,0,83,170,29,1
24,1,2,4,2,246,25,16,41,302585,99,0,1,0,1,0,0,67,170,24,8
20,19,3,3,2,260,50,11,36,343253,95,0,1,4,1,0,0,65,168,24,8
28,23,4,4,3,225,26,9,28,326452,96,0,1,1,0,0,2,69,169,25,1
14,28,5,5,3,155,12,14,34,378884,92,0,1,2,1,0,0,95,196,25,2
24,19,6,2,3,246,25,16,37,377550,94,0,1,0,1,0,0,67,170,24,8
36,0,7,3,1,118,13,18,50,239554,97,1,1,1,1,0,0,98,178,31,0
18,10,8,4,1,330,16,4,28,205917,92,0,2,0,0,0,0,84,182,26,3
34,23,9,2,1,118,10,10,37,241476,92,0,1,0,0,0,0,83,172,29,4
34,23,10,3,4,118,10,10,37,253465,93,0,1,0,0,0,0,83,172,29,3
28,23,11,4,4,225,26,9,28,306345,93,0,1,1,0,0,2,69,169,25,1
34,19,12,3,4,118,10,10,37,261306,97,0,1,0,0,0,0,83,172,29,64
34,27,1,3,2,118,10,13,37,308593,95,0,1,0,0,0,0,83,172,29,1
3,11,2,4,2,179,51,18,38,302585,99,0,1,0,1,0,0,89,170,31,8
30,19,3,3,2,157,27,6,29,343253,95,0,1,0,1,1,0,75,185,22,3
14,28,4,3,3,155,12,14,34,326452,96,0,1,2,1,0,0,95,196,25,1
14,28,5,2,3,155,12,14,34,378884,92,0,1,2,1,0,0,95,196,25,1
10,22,6,2,3,361,52,3,28,377550,94,0,1,1,1,0,4,80,172,28,8
3,23,7,4,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,2
3,11,8,2,1,179,51,18,38,205917,92,0,1,0,1,0,0,89,170,31,1
3,23,9,3,1,179,51,18,38,241476,92,0,1,0,1,0,0,89,170,31,4
36,0,10,4,4,118,13,18,50,253465,93,1,1,1,1,0,0,98,178,31,3
3,13,11,5,4,179,51,18,38,306345,95,0,1,0,1,0,0,89,170,31,8
36,23,12,4,4,118,13,18,50,261306,97,0,1,1,1,0,0,98,178,31,2
14,18,1,3,2,155,12,14,34,308593,95,0,1,2,1,0,0,95,196,25,8
14,28,2,5,2,155,12,14,34,302585,99,0,1,2,1,0,0,95,196,25,2
17,17,3,3,2,179,22,17,40,343253,95,0,2,2,0,1,0,63,170,22,8
24,13,4,4,3,246,25,16,41,326452,96,0,1,0,1,0,0,67,170,24,24
3,18,5,3,3,179,51,18,38,378884,92,0,1,0,1,0,0,89,170,31,8
24,10,6,3,3,246,25,16,41,377550,94,0,1,0,1,0,0,67,170,24,24
7,7,7,5,1,279,5,14,39,239554,97,0,1,2,1,1,0,68,168,25,4
10,13,8,2,1,361,52,3,28,205917,92,0,1,1,1,0,4,80,172,28,40
5,19,9,3,1,235,20,13,43,241476,92,0,1,1,1,0,0,106,167,39,8
22,23,10,5,4,225,26,9,30,253465,93,0,3,0,0,0,0,56,171,20,1
17,21,11,5,4,179,22,17,40,306345,93,0,2,2,0,1,0,63,170,22,8
1,26,12,4,4,235,11,14,37,261306,97,0,3,1,0,0,1,88,172,30,8
28,27,1,4,2,225,26,9,28,308593,95,0,1,1,0,0,2,69,169,25,2
6,23,2,5,2,189,29,13,33,302585,99,0,1,2,0,0,2,69,167,25,8
15,22,3,4,2,291,31,12,40,343253,95,0,1,1,1,0,1,73,171,25,8
14,23,4,5,3,155,12,14,34,326452,96,0,1,2,1,0,0,95,196,25,1
28,19,5,3,3,225,26,9,28,378884,92,0,1,1,0,0,2,69,169,25,8
15,23,6,5,3,291,31,12,40,377550,94,0,1,1,1,0,1,73,171,25,4
11,23,7,5,1,289,36,13,33,239554,97,0,1,2,1,0,1,90,172,31,2
20,28,8,6,1,260,50,11,36,205917,92,0,1,4,1,0,0,65,168,24,4
14,23,9,4,1,155,12,14,34,241476,92,0,1,2,1,0,0,95,196,25,2
28,23,10,6,4,225,26,9,28,253465,93,0,1,1,0,0,2,69,169,25,3
15,23,11,5,4,291,31,12,40,264249,93,0,1,1,1,0,1,73,171,25,5
28,23,12,5,4,225,26,9,28,261306,97,0,1,1,0,0,2,69,169,25,2
27,23,1,5,2,184,42,7,27,308593,95,0,1,0,0,0,0,83,167,30,2
20,28,2,6,2,260,50,11,36,302585,99,0,1,4,1,0,0,65,168,24,2
20,13,3,4,2,260,50,11,36,343253,95,0,1,4,1,0,0,65,168,24,8
28,28,4,6,3,225,26,9,28,326452,96,0,1,1,0,0,2,69,169,25,2
27,7,5,4,3,184,42,7,27,378884,92,0,1,0,0,0,0,58,167,21,4
24,10,6,6,3,246,25,16,37,377550,94,0,1,0,1,0,0,67,170,24,3
3,23,7,6,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,3
11,18,8,2,1,289,36,13,33,205917,92,0,1,2,1,0,1,90,172,31,8
34,23,9,2,1,118,26,10,37,241476,92,0,1,0,0,0,0,83,172,29,3
34,23,10,3,4,118,10,10,37,253465,93,0,1,0,0,0,0,83,172,29,3
14,10,11,2,4,155,12,14,34,306345,93,0,1,1,1,0,0,95,196,25,32
20,26,12,6,4,260,50,11,36,261306,97,0,1,4,1,0,0,65,168,24,8
28,28,1,5,2,225,26,9,28,308593,95,0,1,1,0,0,2,69,169,25,2
11,22,2,6,2,289,36,13,33,302585,99,0,1,2,1,0,1,90,172,31,8
22,13,3,5,2,179,26,9,30,343253,95,0,3,0,0,0,0,56,171,20,8
20,28,4,6,3,260,50,11,36,326452,96,0,1,4,1,0,0,65,168,24,4
14,28,5,2,3,155,12,14,34,378884,92,0,1,2,1,0,0,95,196,25,2
3,11,6,2,3,179,51,18,38,377550,94,0,1,0,1,0,0,89,170,31,8
10,22,7,6,1,225,52,3,28,239554,97,0,1,1,1,0,4,80,172,28,8
10,25,8,2,1,361,52,3,28,205917,92,0,1,1,1,0,4,80,172,28,7
3,23,9,3,1,179,51,18,38,241476,92,0,1,0,1,0,0,89,170,31,3
28,23,10,4,4,225,26,9,28,253465,93,0,1,1,0,0,2,69,169,25,2
6,22,11,2,4,189,29,13,33,306345,93,0,1,2,0,0,2,69,167,25,8
34,19,12,3,4,118,10,10,37,264249,97,0,1,0,0,0,0,83,172,29,56
28,27,1,6,2,225,26,9,28,308593,95,0,1,1,0,0,2,69,169,25,1
31,11,2,2,2,388,15,9,50,302585,99,0,1,0,0,0,0,76,178,24,8
33,14,3,6,2,248,25,14,47,343253,95,0,1,2,0,0,1,86,165,32,3
3,13,4,4,3,179,51,18,38,326452,96,0,1,0,1,0,0,89,170,31,24
3,12,5,3,3,179,51,18,38,378884,92,0,1,0,1,0,0,89,170,31,1
14,23,6,2,3,155,12,14,34,377550,94,0,1,2,1,0,0,95,196,25,4
20,23,7,6,1,260,50,11,36,239554,97,0,1,4,1,0,0,65,168,24,4
11,23,8,3,1,289,36,13,33,205917,92,0,1,2,1,0,1,90,172,31,1
15,23,9,5,1,291,31,12,40,241476,92,0,1,1,1,0,1,73,171,25,4
33,23,10,4,4,248,25,14,47,253465,93,0,1,2,0,0,1,86,165,32,2
15,14,11,2,4,291,31,12,40,306345,93,0,1,1,1,0,1,73,171,25,40
10,22,12,4,4,361,52,3,28,264249,97,0,1,1,1,0,4,80,172,28,8
34,27,1,2,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,29,2
31,1,2,3,2,388,15,9,50,302585,99,0,1,0,0,0,0,76,178,24,8
20,13,3,6,2,260,50,11,36,343253,95,0,1,4,1,0,0,65,168,24,40
36,23,4,5,3,118,13,18,50,326452,96,0,1,1,1,0,0,98,178,31,1
11,13,5,4,3,289,36,13,33,378884,92,0,1,2,1,0,1,90,172,31,24
24,10,6,2,3,246,25,16,41,377550,94,0,1,0,1,0,0,67,170,24,8
14,19,7,2,1,155,12,14,34,239554,97,0,1,2,1,0,0,95,196,25,40
30,28,8,4,1,157,27,6,29,205917,92,0,1,0,1,1,0,75,185,22,4
20,22,9,6,1,260,50,11,36,241476,92,0,1,4,1,0,0,65,168,24,3
15,23,10,5,4,291,31,12,40,253465,93,0,1,1,1,0,1,73,171,25,5
28,23,11,4,4,225,26,9,28,306345,93,0,1,1,0,0,2,69,169,25,1
28,28,12,5,4,225,26,13,28,261306,97,0,1,1,0,0,2,69,169,25,3
28,27,1,3,2,225,26,9,28,308593,95,0,1,1,0,0,2,69,169,25,2
28,28,2,2,2,225,26,9,28,302585,99,0,1,1,0,0,2,69,169,25,2
17,11,3,2,2,179,22,17,40,343253,95,0,2,2,0,1,0,63,170,22,40
15,23,4,6,3,291,31,12,40,326452,96,0,1,1,1,0,1,73,171,25,3
7,0,5,4,3,279,5,14,39,378884,92,1,1,2,1,1,0,68,168,25,0
36,13,6,4,3,118,13,18,50,377550,94,0,1,1,1,0,0,98,178,31,8
1,22,7,2,1,235,11,14,37,239554,97,0,3,1,0,0,1,88,172,30,8
11,18,8,4,1,289,36,13,33,205917,92,0,1,2,1,0,1,90,172,31,8
15,14,9,2,4,225,31,12,40,241476,92,0,1,1,1,0,1,73,171,25,32
3,23,10,4,4,179,51,18,38,253465,93,0,1,0,1,0,0,89,170,31,8
14,6,11,6,4,155,12,14,34,306345,93,0,1,2,1,0,0,95,196,25,8
20,28,12,6,4,260,50,11,36,261306,97,0,1,4,1,0,0,65,168,24,3
34,27,1,3,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,29,2
28,23,2,3,2,225,26,9,28,302585,99,0,1,1,0,0,2,69,169,25,2
14,1,3,2,2,155,12,14,34,343253,95,0,1,2,1,0,0,95,196,25,16
24,14,4,6,3,246,25,16,41,326452,96,0,1,0,1,0,0,67,170,24,8
18,0,5,4,3,330,16,4,28,378884,92,1,2,0,0,0,0,84,182,26,0
1,13,6,6,3,235,11,14,37,377550,94,0,3,1,0,0,1,88,172,30,16
20,1,7,2,1,260,50,11,36,239554,97,0,1,4,1,0,0,65,168,24,8
3,23,8,6,1,179,51,18,38,205917,92,0,1,0,1,0,0,89,170,31,2
20,0,9,2,4,225,50,11,36,241476,92,0,1,4,1,0,0,65,168,24,3
28,23,10,4,4,225,26,9,28,253465,93,0,1,1,0,0,2,69,169,25,3
28,23,11,4,4,225,26,9,28,306345,93,0,1,1,0,0,2,69,169,25,3
28,23,12,3,4,225,26,9,28,261306,97,0,1,1,0,0,2,69,169,25,2
34,27,1,4,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,29,2
22,23,2,3,2,179,26,9,30,302585,99,0,3,0,0,0,0,56,171,20,1
20,26,3,2,2,260,50,11,36,343253,95,0,1,4,1,0,0,65,168,24,16
15,28,4,6,3,291,31,12,40,326452,96,0,1,1,1,0,1,73,171,25,1
23,0,5,4,3,378,49,11,36,378884,92,1,1,2,0,1,4,65,174,22,3
36,23,6,3,3,118,13,18,50,377550,94,0,1,1,1,0,0,98,178,31,1
20,1,7,3,1,260,50,11,36,239554,97,0,1,4,1,0,0,65,168,24,8
3,18,8,2,1,179,51,18,38,205917,92,0,1,0,1,0,0,89,170,31,8
29,0,9,2,4,225,26,9,28,241476,92,1,1,1,0,0,2,69,169,25,0
20,19,10,5,4,260,50,11,36,253465,93,0,1,4,1,0,0,65,170,23,16
17,21,11,4,4,179,22,17,40,306345,95,0,2,2,1,1,0,63,170,22,8
10,22,12,4,4,361,52,3,28,261306,97,0,1,1,1,0,4,80,170,28,8
34,27,1,5,2,118,10,10,37,308593,95,0,1,1,0,0,0,83,172,29,2
27,23,2,3,2,184,42,7,27,302585,99,0,1,0,0,0,0,58,167,21,8
14,13,3,3,2,155,12,14,34,343253,95,0,1,2,1,0,0,95,196,25,8
33,28,4,6,3,248,25,14,47,326452,96,0,1,2,0,0,1,86,165,32,8
31,0,5,4,3,388,15,9,50,378884,92,1,1,0,0,0,0,76,178,24,0
36,13,6,4,3,118,13,18,50,377550,94,0,1,1,1,0,0,98,178,31,80
20,11,7,4,1,260,50,11,36,239554,97,0,1,4,1,0,0,65,168,24,8
2,18,8,5,1,235,29,12,48,205917,92,0,1,1,0,1,5,88,163,34,8
28,23,9,3,4,225,26,9,28,241476,92,0,1,1,0,0,2,69,169,25,2
15,14,10,3,4,291,31,12,40,253465,93,0,1,1,1,0,1,73,171,25,8
28,13,11,6,4,225,26,9,28,306345,93,0,1,1,0,0,2,69,169,25,3
34,27,12,6,4,118,10,10,37,261306,97,0,1,0,0,0,0,83,172,29,2
34,27,1,6,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,29,2
28,25,2,5,2,225,26,9,28,302585,99,0,1,1,0,0,2,69,169,25,3
11,6,3,5,2,289,36,13,33,343253,95,0,1,2,1,0,1,90,172,31,8
20,19,4,6,3,260,50,11,36,326452,96,0,1,4,1,0,0,65,168,24,56
3,11,5,3,3,179,51,18,38,378884,92,0,1,0,1,0,0,89,170,31,1
23,22,6,5,3,378,49,11,36,377550,94,0,1,2,0,1,4,65,174,22,8
3,11,7,4,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,1
1,23,8,5,1,225,11,14,37,205917,92,0,3,1,0,0,1,88,172,30,4
34,23,9,3,4,118,10,10,37,241476,92,0,1,0,0,0,0,83,172,29,2
28,28,10,3,4,225,26,9,28,253465,93,0,1,1,0,0,2,69,169,25,2
20,28,11,6,4,260,50,11,36,264249,93,0,1,4,1,0,0,65,168,24,4
24,19,12,6,2,246,25,16,41,261306,97,0,1,0,1,0,0,67,170,24,8
34,27,1,2,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,29,2
18,18,2,2,2,330,16,4,28,302585,99,0,2,0,0,0,0,84,182,26,8
17,8,3,5,2,179,22,17,40,343253,95,0,2,2,0,1,0,63,170,22,8
11,19,4,3,3,289,36,13,33,326452,96,0,1,2,1,0,1,90,172,31,8
36,13,5,4,3,118,13,18,50,378884,92,0,1,1,1,0,0,98,178,31,24
3,11,6,6,3,179,51,18,38,377550,94,0,1,0,1,0,0,89,170,31,2
3,23,7,4,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,4
2,18,8,2,1,235,29,12,48,205917,92,0,1,1,0,1,5,88,163,34,8
11,0,9,3,4,289,36,13,33,241476,92,1,1,2,1,0,1,90,172,31,0
11,26,10,4,4,289,36,13,33,264249,93,0,1,2,1,0,1,90,172,31,8
33,28,11,2,4,248,25,14,47,306345,93,0,1,2,0,0,1,86,165,32,1
28,23,12,6,2,225,26,9,37,261306,95,0,1,1,0,0,2,69,169,25,2
34,27,1,3,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,29,2
18,23,2,3,2,330,16,4,28,302585,99,0,2,0,0,0,0,84,182,26,1
20,28,3,6,2,260,50,11,36,343253,95,0,1,4,1,0,0,65,168,24,4
14,12,4,4,3,155,12,14,34,326452,96,0,1,2,1,0,0,95,196,25,24
10,22,5,6,3,361,52,3,28,264249,92,0,1,1,1,0,4,80,172,28,3
32,28,6,2,1,289,48,29,49,377550,94,0,1,0,0,0,2,108,172,37,2
24,14,7,6,1,246,25,16,41,239554,97,0,1,0,1,0,0,67,170,24,3
3,23,8,2,1,179,51,18,38,205917,92,0,1,0,1,0,0,89,170,31,2
36,0,9,3,4,118,13,18,50,264249,92,1,1,1,1,0,0,98,178,31,3
10,23,10,6,4,361,52,3,28,253465,93,0,1,1,1,0,4,80,172,28,1
28,28,11,3,4,225,26,9,28,306345,93,0,1,1,0,0,2,69,169,25,3
28,12,12,2,4,225,26,9,28,236629,93,0,1,1,0,0,2,69,169,25,3
22,18,1,3,2,179,26,9,30,308593,95,0,3,0,0,0,0,56,171,20,8
28,23,2,4,2,225,26,9,28,302585,99,0,1,1,0,0,2,69,169,25,1
28,23,3,6,2,225,26,9,28,343253,95,0,1,1,0,0,2,69,169,25,1
23,19,4,4,3,378,49,11,36,326452,96,0,1,2,0,1,4,65,174,22,8
5,13,5,2,3,235,20,13,43,246074,99,0,1,1,1,0,0,106,167,39,16
28,28,6,5,1,225,26,9,28,377550,94,0,1,1,0,0,2,69,169,25,2
3,23,7,6,1,225,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,2
10,23,8,2,1,361,52,3,28,205917,92,0,1,1,1,0,4,80,172,28,1
28,18,9,4,4,225,26,9,28,241476,92,0,1,1,0,0,2,69,169,25,3
20,28,10,6,4,225,50,11,36,253465,93,0,1,1,1,0,0,65,168,24,3
11,7,11,4,4,289,36,13,33,306345,93,0,1,2,1,0,1,90,172,31,24
3,28,12,2,4,179,51,18,38,236629,93,0,1,0,1,0,0,89,170,31,2
11,18,1,3,2,289,36,13,33,308593,95,0,1,2,1,0,1,90,172,31,8
6,19,2,5,2,189,29,13,33,302585,99,0,1,2,0,0,2,69,167,25,8
7,14,3,2,2,279,5,14,39,343253,95,0,1,2,1,1,0,68,168,25,8
11,13,4,5,3,289,36,13,33,326452,96,0,1,2,1,0,1,90,172,31,16
33,23,5,4,3,248,25,14,47,246074,99,0,1,2,0,0,1,86,165,32,2
34,23,6,2,3,118,10,10,37,253957,95,0,1,0,0,0,0,83,172,29,3
3,21,7,2,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,8
11,24,8,3,1,289,36,13,33,205917,92,0,1,2,1,0,1,90,172,31,8
3,23,9,4,4,179,51,18,38,241476,92,0,1,0,1,0,0,89,170,31,3
11,24,10,2,4,289,36,13,33,265017,88,0,1,2,1,0,1,90,172,31,8
15,23,11,5,4,291,31,12,40,306345,93,0,1,1,1,0,1,73,171,25,3
3,28,12,2,4,179,51,18,38,236629,93,0,1,0,1,0,0,89,170,31,1
34,27,1,4,2,118,10,13,37,308593,95,0,1,1,0,0,0,83,170,29,2
34,28,2,3,2,118,10,10,37,251818,96,0,1,0,0,0,0,83,172,29,2
3,13,3,3,2,179,51,18,38,343253,95,0,1,0,1,0,0,89,170,31,24
1,7,4,6,3,235,11,14,37,326452,96,0,3,1,0,0,1,88,172,30,3
13,10,5,2,3,369,17,12,31,246074,99,0,1,3,1,0,0,70,169,25,8
3,28,6,2,3,179,51,18,38,253957,95,0,1,0,1,0,0,89,170,31,3
6,11,7,5,1,189,29,13,33,239554,97,0,1,2,0,0,2,69,167,25,8
19,11,8,5,1,291,50,12,32,205917,92,0,1,0,1,0,0,65,169,23,4
13,0,9,4,4,369,17,12,31,241476,92,1,1,3,1,0,0,70,169,25,0
1,26,10,2,4,235,11,14,37,265017,88,0,3,1,0,0,1,88,172,30,4
34,11,11,2,4,118,10,10,37,284031,97,0,1,0,0,0,0,83,172,29,8
1,23,12,2,4,235,11,14,37,236629,93,0,3,1,0,0,1,88,172,30,3
27,23,1,5,2,184,42,7,27,264249,95,0,1,0,0,0,0,58,170,21,2
3,27,2,4,2,179,51,18,38,251818,96,0,1,0,1,0,0,89,170,31,3
28,23,3,4,2,225,26,9,28,343253,95,0,1,1,0,0,2,69,169,25,2
2,0,4,2,3,235,29,12,48,326452,96,1,1,1,0,1,5,88,163,34,0
22,23,5,4,3,179,26,9,30,246074,99,0,3,0,0,0,0,56,171,20,3
34,28,6,3,3,118,10,10,37,253957,95,0,1,0,0,0,0,83,172,29,2
14,19,7,3,1,155,12,14,34,275312,98,0,1,2,1,0,0,95,196,25,16
2,28,8,6,1,235,29,12,48,205917,92,0,1,1,0,1,5,88,163,34,8
33,23,9,6,4,248,25,14,47,241476,92,0,1,2,0,0,1,86,165,32,1
11,26,10,2,4,289,36,13,33,265017,88,0,1,2,1,0,1,90,172,31,8
33,23,11,2,4,248,25,14,47,284031,97,0,1,2,0,0,1,86,165,32,2
36,28,12,3,4,118,13,18,50,236629,93,0,1,1,1,0,0,98,178,31,1
34,27,1,5,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,29,2
28,7,2,4,2,225,26,9,28,251818,96,0,1,1,0,0,2,69,169,25,1
28,11,3,2,3,225,26,9,28,343253,95,0,1,1,0,0,2,69,169,25,8
3,28,4,4,3,179,51,18,38,239409,98,0,1,0,1,0,0,89,170,31,4
3,28,5,4,3,179,51,18,38,246074,99,0,1,0,1,0,0,89,170,31,4
28,23,6,5,3,225,26,9,28,253957,95,0,1,1,0,0,2,69,169,25,4
36,1,7,4,1,118,13,18,50,275312,98,0,1,1,1,0,0,98,178,31,8
20,23,8,6,1,260,50,11,36,205917,92,0,1,4,1,0,0,65,168,24,4
3,23,9,6,4,179,51,18,38,241476,92,0,1,0,1,0,0,89,170,31,3
11,22,10,6,4,289,36,13,33,265017,88,0,1,2,1,0,1,90,172,31,8
3,6,11,3,4,179,51,18,38,284031,97,0,1,0,1,0,0,89,170,31,8
20,28,12,6,4,260,50,11,36,236629,93,0,1,4,1,0,0,65,168,24,4
34,27,1,2,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,29,0
11,22,2,6,2,289,36,13,33,251818,96,0,1,2,1,0,1,90,172,31,3
22,13,3,2,3,179,26,9,30,343253,95,0,3,0,0,0,0,56,171,20,1
20,28,4,6,3,260,50,11,36,239409,98,0,1,4,1,0,0,65,168,24,3
10,23,5,5,3,361,52,3,28,246074,99,0,1,1,1,0,4,80,172,28,1
20,28,6,6,3,260,50,11,36,253957,95,0,1,4,1,0,0,65,168,24,4
34,5,7,6,1,118,10,10,37,275312,98,0,1,0,0,0,0,83,172,29,8
11,19,8,6,1,289,36,13,33,265615,94,0,1,2,1,0,1,90,172,31,8
20,23,9,6,4,260,50,11,36,241476,92,0,1,4,1,0,0,65,168,24,4
36,0,10,6,4,118,13,18,50,265017,88,1,1,1,1,0,0,98,178,31,0
20,28,11,6,4,260,50,11,36,284031,97,0,1,4,1,0,0,65,168,24,3
24,4,12,5,4,246,25,16,41,236629,93,0,1,0,1,0,0,67,170,24,8
28,23,1,3,2,225,26,9,28,308593,95,0,1,1,0,0,2,69,169,25,1
20,23,2,6,2,260,50,11,36,251818,96,0,1,4,1,0,0,65,168,24,3
28,11,3,3,3,225,26,9,28,343253,95,0,1,1,0,0,2,69,169,25,8
18,26,4,6,3,330,16,4,28,239409,98,0,2,0,0,0,0,84,182,26,4
20,28,5,6,3,260,50,11,36,246074,99,0,1,4,1,0,0,65,168,24,3
3,0,6,6,3,179,51,18,38,253957,95,1,1,0,1,0,0,89,170,31,0
34,26,7,6,1,118,10,10,37,275312,98,0,1,0,0,0,0,83,172,29,4
30,19,8,6,1,157,27,6,29,265615,94,0,1,0,1,1,0,75,185,22,3
3,11,9,2,1,179,51,18,38,294217,81,0,1,0,1,0,0,89,170,31,8
33,0,10,6,4,248,25,14,47,265017,88,1,1,2,0,0,1,86,165,32,0
15,23,11,2,4,291,31,12,40,284031,97,0,1,1,1,0,1,73,171,25,1
3,28,12,5,4,179,51,18,38,236629,93,0,1,0,1,0,0,89,170,31,1
11,22,1,5,2,289,36,13,33,308593,95,0,1,2,1,0,1,90,172,31,3
3,23,2,6,2,179,51,18,38,251818,96,0,1,0,1,0,0,89,170,31,3
28,11,3,4,3,225,26,9,28,343253,95,0,1,1,0,0,2,69,169,25,16
13,22,4,2,3,369,17,12,31,239409,98,0,1,3,1,0,0,70,169,25,4
17,11,5,2,3,179,22,17,40,246074,99,0,2,2,0,1,0,63,170,22,2
15,13,6,2,3,291,31,12,40,253957,95,0,1,1,1,0,1,73,171,25,40
18,26,7,3,1,330,16,4,28,275312,98,0,2,0,0,0,0,84,182,26,8
11,23,8,2,1,289,36,13,33,265615,94,0,1,2,1,0,1,90,172,31,1
3,23,9,6,1,179,51,18,38,294217,81,0,1,0,1,0,0,89,170,31,3
22,1,10,2,4,179,26,9,30,265017,88,0,3,0,0,0,0,56,171,20,8
23,1,11,2,4,378,49,11,36,284031,97,0,1,2,0,1,4,65,174,22,8
3,28,12,6,4,179,51,18,38,236629,93,0,1,0,1,0,0,89,170,31,1
28,23,1,4,2,225,26,9,28,330061,100,0,1,1,0,0,2,69,169,25,5
3,27,2,2,2,179,51,18,38,251818,96,0,1,0,1,0,0,89,170,31,2
3,13,3,4,3,179,51,18,38,343253,95,0,1,0,1,0,0,89,170,31,3
