ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
33,26,4,2,3,248,25,14,47,239409,98,0,1,2,0,0,1,86,165,32,4
17,8,5,2,3,179,22,17,40,246074,99,0,2,2,0,1,0,63,170,22,3
3,28,6,2,3,179,51,18,38,253957,95,0,1,0,1,0,0,89,170,31,24
22,18,7,5,1,179,26,9,30,275312,98,0,3,0,0,0,0,56,171,20,8
9,18,8,3,1,228,14,16,58,265615,94,0,1,2,0,0,1,65,172,22,8
11,19,9,4,1,289,36,13,33,294217,81,0,1,2,1,0,1,90,170,32,24
34,7,10,2,4,118,10,10,37,265017,88,0,1,0,0,0,0,83,172,29,3
14,11,11,2,4,155,12,14,34,284031,97,0,1,2,1,0,0,95,196,25,3
22,23,12,3,4,179,26,9,30,236629,93,0,3,0,0,0,0,56,171,20,1
34,19,1,2,2,118,10,10,37,330061,100,0,1,0,0,0,0,83,172,29,32
3,27,2,4,2,179,51,18,38,251818,96,0,1,0,1,0,0,89,170,31,3
7,14,3,5,3,279,5,14,39,343253,95,0,1,2,1,1,0,68,168,25,16
18,23,4,4,3,330,16,4,28,239409,98,0,2,0,0,0,0,84,182,26,8
9,18,5,4,3,228,14,16,58,246074,99,0,1,2,0,0,1,65,172,22,8
24,28,6,3,3,246,25,16,41,253957,95,0,1,0,1,0,0,67,170,24,3
14,25,7,6,1,155,12,14,34,275312,98,0,1,2,1,0,0,95,196,25,2
26,13,8,5,1,300,26,13,43,265615,94,0,1,2,1,1,1,77,175,26,1
5,0,9,5,1,235,20,13,43,294217,81,1,1,1,1,0,0,106,170,37,0
13,22,10,2,4,369,17,12,31,265017,88,0,1,3,1,0,0,70,169,25,8
5,26,11,2,4,235,20,13,43,284031,97,0,1,1,1,0,0,106,167,39,8
34,25,12,3,4,118,10,10,37,236629,93,0,1,0,0,0,0,83,172,29,8
14,23,1,2,2,155,12,14,34,330061,100,0,1,2,1,0,0,95,196,25,2
3,10,2,5,2,179,51,18,38,251818,96,0,1,0,1,0,0,89,170,31,8
28,28,3,6,3,225,26,9,28,343253,95,0,1,1,0,0,2,69,169,25,2
3,28,4,4,3,179,51,18,38,239409,98,0,1,0,1,0,0,89,170,31,8
28,25,5,4,3,225,26,9,28,246074,99,0,1,1,0,0,2,69,169,25,3
3,28,6,2,3,179,51,18,38,253957,95,0,1,0,1,0,0,89,170,31,4
18,1,7,2,1,330,16,4,28,275312,98,0,2,0,0,0,0,84,182,26,8
26,14,8,5,1,300,26,13,43,265615,94,0,1,2,1,1,1,77,175,26,2
24,9,9,2,1,246,25,16,41,294217,81,0,1,0,1,0,0,67,170,24,16
3,28,10,4,4,179,51,18,38,265017,88,0,1,0,1,0,0,89,170,31,1
18,0,11,3,4,330,16,4,28,284031,97,1,2,0,0,0,0,84,182,26,0
1,25,12,5,4,235,11,14,37,236629,93,0,3,1,0,0,1,88,172,30,2
1,13,1,3,2,235,11,14,37,330061,100,0,3,1,0,0,1,88,172,30,1
24,26,2,5,2,246,25,16,41,251818,96,0,1,0,1,0,0,67,170,24,8
33,14,3,6,3,248,25,14,47,343253,95,0,1,2,0,0,1,86,165,32,3
36,23,4,2,3,118,13,18,50,239409,98,0,1,1,1,0,0,98,178,31,1
18,13,5,6,3,330,16,4,28,246074,99,0,2,0,0,0,0,84,182,26,8
5,26,6,3,3,235,20,13,43,253957,95,0,1,1,1,0,0,106,167,39,8
18,1,7,3,1,330,16,4,28,275312,98,0,2,0,0,0,0,84,182,26,8
20,28,8,6,1,260,50,11,36,265615,94,0,1,4,1,0,0,65,168,24,4
15,28,9,3,1,291,31,12,40,294217,81,0,1,1,1,0,1,73,171,25,3
22,1,10,4,4,179,26,9,30,265017,88,0,3,0,0,0,0,56,171,20,64
1,18,11,4,4,235,11,14,37,284031,97,0,3,1,0,0,1,88,172,30,1
3,28,12,6,4,179,51,18,38,236629,93,0,1,0,1,0,0,89,170,31,1
14,23,1,3,2,155,12,14,34,330061,100,0,1,2,1,0,0,95,196,25,4
3,27,2,6,2,179,51,18,38,251818,96,0,1,0,1,0,0,89,170,31,3
28,28,3,2,3,225,26,9,28,343253,95,0,1,1,0,0,2,69,169,25,1
36,13,4,4,3,118,13,18,50,239409,98,0,1,1,1,0,0,98,178,31,120
22,25,5,2,3,179,26,9,30,246074,99,0,3,0,0,0,0,56,171,20,2
3,28,6,2,1,179,51,18,38,253957,95,0,1,0,1,0,0,89,170,31,2
30,25,7,2,1,157,27,6,29,275312,98,0,1,0,1,1,0,75,185,22,3
11,23,8,3,1,289,36,13,33,265615,94,0,1,2,1,0,1,90,172,31,4
8,0,9,3,1,231,35,14,39,294217,81,1,1,2,1,0,2,100,170,35,0
5,0,10,4,4,235,20,13,43,265017,88,1,1,1,1,0,0,106,167,39,0
34,11,11,4,4,118,10,10,37,284031,97,0,1,0,0,0,0,83,172,29,3
5,13,12,3,2,235,20,13,43,236629,93,0,1,1,1,0,0,106,167,39,8
11,26,1,2,2,289,36,13,33,330061,100,0,1,2,1,0,1,90,172,31,8
6,23,2,2,2,189,29,13,33,251818,96,0,1,2,0,0,2,69,167,25,8
34,18,3,3,2,118,10,10,37,244387,98,0,1,0,0,0,0,83,172,29,8
26,28,4,6,3,300,26,13,43,239409,98,0,1,2,1,1,1,77,175,26,8
34,28,5,2,3,118,10,10,37,246074,99,0,1,0,0,0,0,83,172,29,1
28,23,6,4,1,225,26,9,28,253957,95,0,1,1,0,0,2,69,169,25,2
10,22,7,3,1,361,52,3,28,275312,98,0,1,1,1,0,4,80,172,28,8
33,23,8,4,1,248,25,14,47,265615,94,0,1,2,0,0,1,86,165,32,1
19,0,9,3,1,291,50,12,32,294217,81,1,1,0,1,0,0,65,169,23,0
11,19,10,5,4,289,36,13,33,265017,88,0,1,2,1,0,1,90,172,31,16
1,25,11,5,4,235,11,14,37,284031,97,0,3,1,0,0,1,88,172,30,2
1,14,12,3,2,235,11,14,37,236629,93,0,3,1,0,0,1,88,172,30,4
15,3,1,4,2,291,31,12,40,330061,100,0,1,1,1,0,1,73,171,25,8
3,27,2,2,2,179,51,18,38,251818,96,0,1,0,1,0,0,89,170,31,3
24,19,3,4,2,246,25,16,41,244387,98,0,1,0,1,0,0,67,170,24,16
20,28,4,6,3,260,50,11,36,239409,98,0,1,4,1,0,0,65,168,24,4
1,1,5,2,3,235,11,14,37,246074,99,0,3,1,0,0,1,88,172,30,8
36,23,6,4,1,118,13,18,50,253957,95,0,1,1,1,0,0,98,178,31,2
11,26,7,4,1,289,36,13,33,275312,98,0,1,2,1,0,1,90,172,31,8
21,11,8,5,1,268,11,8,33,265615,94,0,2,0,0,0,0,79,178,25,8
3,13,9,4,1,179,51,18,38,294217,81,0,1,0,1,0,0,89,170,31,8
20,28,10,6,4,260,50,11,36,265017,88,0,1,4,1,0,0,65,168,24,3
3,28,11,5,4,179,51,18,38,284031,97,0,1,0,1,0,0,89,170,31,3
20,26,12,4,2,260,50,11,36,236629,93,0,1,4,1,0,0,65,168,24,8
5,26,1,2,2,235,20,13,43,330061,100,0,1,1,1,0,0,106,167,39,8
24,23,2,3,2,246,25,16,41,251818,96,0,1,0,1,0,0,67,170,24,2
24,28,3,6,2,246,25,16,41,244387,98,0,1,0,1,0,0,67,170,24,2
3,28,4,2,3,179,51,18,38,239409,98,0,1,0,1,0,0,89,170,31,4
22,23,5,4,3,179,26,9,30,246074,99,0,3,0,0,0,0,56,171,20,3
3,5,6,4,1,179,51,18,38,253957,95,0,1,0,1,0,0,89,170,31,8
3,26,7,5,1,179,51,18,38,275312,98,0,1,0,1,0,0,89,170,31,8
22,23,8,5,1,179,26,9,30,265615,94,0,3,0,0,0,0,56,171,20,1
24,9,9,4,1,246,25,16,41,294217,81,0,1,0,1,0,0,67,170,24,32
5,0,10,6,4,235,20,13,43,265017,88,1,1,1,1,0,0,106,167,39,0
24,13,11,6,4,246,25,16,41,284031,97,0,1,0,1,0,0,67,170,24,8
30,28,12,2,2,157,27,6,29,236629,93,0,1,0,1,1,0,75,185,22,2
36,26,1,2,2,118,13,18,50,330061,100,0,1,1,1,0,0,98,178,31,4
15,23,2,3,2,291,31,12,40,251818,96,0,1,1,1,0,1,73,171,25,2
20,28,3,6,2,260,50,11,36,244387,98,0,1,4,1,0,0,65,168,24,4
34,11,4,4,3,118,10,10,37,239409,98,0,1,0,0,0,0,83,172,29,2
1,22,5,2,3,235,11,14,37,237656,99,0,3,1,0,0,1,88,172,30,8
22,21,6,4,1,179,26,9,30,253957,95,0,3,0,0,0,0,56,171,20,2
11,19,7,2,1,289,36,13,33,275312,98,0,1,2,1,0,1,90,172,31,32
36,13,8,5,1,118,13,18,50,265615,94,0,1,1,1,0,0,98,178,31,3
3,23,9,5,1,179,51,18,38,294217,81,0,1,0,1,0,0,89,170,31,1
5,23,10,2,4,235,20,13,43,265017,88,0,1,1,1,0,0,106,167,39,2
15,12,11,6,4,291,31,12,40,284031,97,0,1,1,1,0,1,73,171,25,4
3,28,12,2,2,179,51,18,38,236629,93,0,1,0,1,0,0,89,170,31,3
3,23,1,4,2,179,51,18,38,330061,100,0,1,0,1,0,0,89,170,31,1
30,11,2,4,2,157,27,6,29,251818,96,0,1,0,1,1,0,75,185,22,16
3,28,3,2,2,179,51,18,38,244387,98,0,1,0,1,0,0,89,170,31,2
28,13,4,2,3,225,26,9,28,246288,91,0,1,1,0,0,2,69,169,25,8
29,19,5,4,3,225,15,15,41,237656,99,0,4,2,1,0,2,94,182,29,3
24,28,6,6,1,246,25,16,41,253957,95,0,1,0,1,0,0,67,170,24,2
11,19,7,5,1,289,36,13,33,275312,98,0,1,2,1,0,1,90,172,31,8
33,25,8,2,1,248,25,14,47,265615,94,0,1,2,0,0,1,86,165,32,2
15,28,9,6,1,291,31,12,40,294217,81,0,1,1,1,0,1,73,171,25,4
5,23,10,2,4,235,20,13,43,265017,88,0,1,1,1,0,0,106,167,39,2
24,13,11,2,4,246,25,16,41,284031,97,0,1,0,1,0,0,67,170,24,8
11,19,12,2,2,289,36,13,33,236629,93,0,1,2,1,0,1,90,172,31,8
3,28,1,6,2,179,51,18,38,330061,100,0,1,0,1,0,0,89,170,31,1
3,27,2,4,2,179,51,18,38,251818,96,0,1,0,1,0,0,89,170,31,3
1,22,3,2,2,235,11,14,37,244387,98,0,3,1,0,0,1,88,172,30,8
34,10,4,2,3,118,10,10,37,246288,91,0,1,0,0,0,0,83,172,29,8
25,28,5,4,3,235,16,8,32,237656,99,0,3,0,0,0,0,75,178,24,2
18,11,6,3,1,330,16,4,28,253957,95,0,2,0,0,0,0,84,182,26,1
20,0,7,5,1,260,50,11,36,275312,98,1,1,4,1,0,0,65,168,24,0
1,23,8,3,1,235,11,14,37,265615,94,0,3,1,0,0,1,88,172,30,1
20,28,9,6,1,260,50,11,36,294217,81,0,1,4,1,0,0,65,168,24,4
36,28,10,3,4,118,13,18,50,265017,88,0,1,1,1,0,0,98,178,31,1
3,28,11,3,4,179,51,18,38,284031,97,0,1,0,1,0,0,89,170,31,1
3,13,12,3,4,179,51,18,38,280549,98,0,1,0,1,0,0,89,170,31,3
22,12,1,2,2,179,26,9,30,313532,96,0,3,0,0,0,0,56,171,20,24
3,27,2,6,2,179,51,18,38,251818,96,0,1,0,1,0,0,89,170,31,3
17,22,3,3,2,179,22,17,40,244387,98,0,2,2,0,1,0,63,170,22,8
10,19,4,3,3,361,52,3,28,246288,91,0,1,1,1,0,4,80,172,28,8
34,8,5,4,3,118,10,10,37,237656,99,0,1,0,0,0,0,83,172,29,3
1,13,6,3,1,235,11,14,37,253957,95,0,3,1,0,0,1,88,172,30,8
22,23,7,5,1,179,26,9,30,230290,92,0,3,0,0,0,0,56,171,20,2
36,23,8,5,1,118,13,18,50,265615,94,0,1,1,1,0,0,98,178,31,1
5,26,9,4,4,235,20,13,43,294217,81,0,1,1,1,0,0,106,167,39,8
15,28,10,3,4,291,31,12,40,265017,88,0,1,1,1,0,1,73,171,25,4
20,10,11,4,4,260,50,11,36,284031,97,0,1,4,1,0,0,65,168,24,8
15,28,12,4,4,291,31,12,40,280549,98,0,1,1,1,0,1,73,171,25,1
22,12,1,5,2,179,26,9,30,313532,96,0,3,0,0,0,0,56,171,20,16
24,10,2,6,2,246,25,16,41,251818,96,0,1,0,1,0,0,67,170,24,24
23,22,3,3,2,378,49,11,36,244387,98,0,1,2,0,1,4,65,174,22,3
33,19,4,4,3,248,25,14,47,246288,91,0,1,2,0,0,1,86,165,32,8
5,26,5,4,3,235,20,13,43,237656,99,0,1,1,1,0,0,106,167,39,8
16,7,6,4,3,118,15,24,46,275089,96,0,1,2,1,1,0,75,175,25,8
28,25,7,5,1,225,26,9,28,230290,92,0,1,1,0,0,2,69,169,25,4
1,19,8,5,1,235,11,14,37,265615,94,0,3,1,0,0,0,88,172,30,8
36,28,9,5,4,118,13,18,50,294217,81,0,1,1,1,0,0,98,178,31,1
22,23,10,5,4,179,26,9,30,265017,88,0,3,0,0,0,0,56,171,20,16
20,15,11,6,4,260,50,11,36,284031,97,0,1,4,1,0,0,65,168,24,8
28,23,12,4,4,225,26,9,28,280549,98,0,1,1,0,0,2,69,169,25,3
17,25,1,5,2,179,22,17,40,313532,96,0,2,2,0,1,0,63,170,22,2
3,27,2,4,2,179,51,18,38,251818,96,0,1,0,1,0,0,89,170,31,3
3,28,3,2,2,179,51,18,38,244387,98,0,1,0,1,0,0,89,170,31,16
6,13,4,5,3,189,29,13,33,246288,91,0,1,2,0,0,2,69,167,25,8
22,13,5,5,3,179,26,9,30,237656,99,0,3,0,0,0,0,56,171,20,1
22,27,6,4,3,179,26,9,30,275089,96,0,3,0,0,0,0,56,171,20,3
20,13,7,6,1,260,50,11,36,230290,92,0,1,4,1,0,0,65,168,24,8
10,8,8,3,1,361,52,3,28,265615,94,0,1,1,1,0,4,80,170,28,8
5,0,9,5,4,235,20,13,43,294217,81,1,1,1,1,0,0,106,167,39,0
36,28,10,5,4,118,13,18,50,265017,88,0,1,1,1,0,0,98,178,31,1
23,0,11,6,4,378,49,11,36,284031,97,1,1,2,0,1,4,65,174,22,0
22,13,12,6,4,179,26,9,30,280549,98,0,3,0,0,0,0,56,171,20,1
17,25,1,6,2,179,22,17,40,313532,96,0,2,2,0,1,0,63,170,22,2
3,27,2,6,2,179,51,18,38,251818,96,0,1,0,1,0,0,89,170,31,3
10,22,3,4,2,361,52,3,28,244387,98,0,1,1,1,0,4,80,172,28,3
22,27,4,6,3,179,26,9,30,246288,91,0,3,0,0,0,0,56,171,20,2
15,28,5,5,3,291,31,12,40,237656,99,0,1,1,1,0,1,73,171,25,2
34,26,6,6,3,118,10,10,37,275089,96,0,1,0,0,0,0,83,172,29,8
21,7,7,2,1,268,11,8,33,230290,92,0,2,0,0,0,0,79,178,25,8
27,6,8,4,1,184,42,7,27,265615,94,0,1,0,0,0,0,58,167,21,3
15,28,9,6,4,291,31,12,40,294217,81,0,1,1,1,0,1,73,171,25,3
10,10,10,2,4,361,52,3,28,265017,88,0,1,1,1,0,4,80,172,28,8
7,0,11,3,4,279,5,14,39,284031,97,1,1,2,1,1,0,68,168,25,120
28,23,12,6,4,225,26,9,28,280549,98,0,1,1,0,0,2,69,169,25,3
22,13,1,2,2,179,26,9,30,313532,96,0,3,0,0,0,0,56,171,20,3
3,13,2,3,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,8
13,0,3,4,2,369,17,12,31,244387,98,1,1,3,1,0,0,70,169,25,0
13,7,4,2,3,369,17,12,31,246288,91,0,1,3,1,0,0,70,169,25,24
29,14,5,5,3,225,15,15,41,237656,99,0,4,2,1,0,2,94,182,29,8
34,10,6,4,3,118,10,10,37,275089,96,0,1,0,0,0,0,83,172,29,8
18,25,7,6,1,330,16,4,28,230290,92,0,2,0,0,0,0,84,182,26,8
3,25,8,5,1,179,51,18,38,249797,93,0,1,0,1,0,0,89,170,31,4
15,7,9,2,4,291,31,12,40,294217,81,0,1,1,1,0,1,73,171,25,40
20,0,10,3,4,260,50,11,36,265017,88,1,1,4,1,0,0,65,168,24,0
3,23,11,5,4,179,51,18,38,284031,97,0,1,0,1,0,0,89,170,31,1
28,23,12,4,4,225,26,9,28,280549,98,0,1,1,0,0,2,69,169,25,3
17,25,1,4,2,179,22,17,40,313532,96,0,2,2,0,1,0,63,170,22,2
28,23,2,3,2,225,26,9,28,264249,97,0,1,1,0,0,2,69,169,25,3
1,21,3,5,2,235,11,14,37,244387,98,0,3,1,0,0,1,88,172,30,8
17,16,4,3,3,179,22,17,40,246288,91,0,2,2,0,1,0,63,170,22,2
26,19,5,6,3,300,26,13,43,237656,99,0,1,2,1,1,1,77,175,26,64
23,22,6,5,3,378,49,11,36,275089,96,0,1,2,0,1,4,65,174,22,8
34,26,7,6,1,118,10,10,37,230290,92,0,1,0,0,0,0,83,172,29,8
17,25,8,2,1,179,22,17,40,249797,93,0,2,2,0,1,0,63,170,22,1
3,13,9,2,4,179,51,18,38,294217,81,0,1,0,1,0,0,89,170,31,8
15,0,10,3,4,291,31,12,40,265017,88,1,1,1,1,0,1,73,171,25,0
3,21,11,3,4,179,51,18,38,268519,93,0,1,0,1,0,0,89,170,31,1
10,14,12,5,4,361,52,3,28,280549,98,0,1,1,1,0,4,80,172,28,4
32,10,1,5,2,289,48,29,49,313532,96,0,1,0,0,0,2,108,172,37,8
33,1,2,4,2,248,25,14,47,264249,97,0,1,2,0,0,1,86,165,32,8
36,23,3,6,3,118,13,18,50,244387,98,0,1,1,1,0,0,98,178,31,2
36,23,4,3,3,118,13,18,50,246288,91,0,1,1,1,0,0,98,178,31,3
29,22,5,6,3,225,15,15,41,237656,99,0,4,2,1,0,2,94,182,29,8
36,19,6,5,3,118,13,18,50,275089,96,0,1,1,1,0,0,98,178,31,24
20,26,7,2,1,260,50,11,36,230290,92,0,1,4,1,0,0,65,168,24,4
24,28,8,3,1,246,25,16,41,249797,93,0,1,0,1,0,0,67,170,24,4
24,28,9,3,1,246,25,16,41,261756,87,0,1,0,1,0,0,67,170,24,1
30,0,10,3,4,157,27,6,29,265017,88,1,1,0,1,1,0,75,185,22,3
34,28,11,4,4,118,10,10,37,268519,93,0,1,0,0,0,0,83,172,29,3
17,18,12,6,4,179,22,17,40,280549,98,0,2,2,0,1,0,63,170,22,2
17,18,1,6,2,179,22,17,40,313532,96,0,2,2,0,1,0,63,170,22,3
3,27,2,4,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2
36,14,3,3,3,118,13,18,50,244387,98,0,1,1,1,0,0,98,178,31,3
10,23,4,3,3,361,52,3,28,246288,91,0,1,1,1,0,4,80,172,28,2
22,27,5,6,3,179,26,9,30,237656,99,0,3,0,0,0,0,56,171,20,2
12,19,6,6,3,233,51,1,31,275089,96,0,2,1,1,0,8,68,178,22,8
34,28,7,3,1,118,10,10,37,230290,92,0,1,0,0,0,0,83,172,29,8
34,28,8,3,1,118,10,10,37,249797,93,0,1,0,0,0,0,83,172,29,4
24,28,9,3,1,246,25,16,41,261756,87,0,1,0,1,0,0,67,170,24,1
22,1,10,4,4,179,26,9,30,265017,88,0,3,0,0,0,0,56,171,20,5
18,2,11,4,4,330,16,4,28,268519,93,0,2,0,0,0,0,84,182,26,24
5,26,12,6,4,235,20,13,43,280549,98,0,1,1,1,0,0,106,167,39,8
22,27,1,2,2,179,26,9,30,313532,96,0,3,0,0,0,0,56,171,20,2
28,28,2,5,2,225,26,9,28,264249,97,0,1,1,0,0,2,69,169,25,3
36,13,3,4,3,118,13,18,50,244387,98,0,1,1,1,0,0,98,178,31,8
34,10,4,4,3,118,10,10,37,246288,91,0,1,0,0,0,0,83,172,29,2
36,23,5,2,3,118,13,18,50,237656,99,0,1,1,1,0,0,98,178,31,2
22,27,6,6,3,179,26,9,30,275089,96,0,3,0,0,0,0,56,171,20,2
26,15,7,2,1,300,26,13,43,230290,92,0,1,2,1,1,1,77,175,26,8
11,26,8,3,1,289,36,13,33,249797,93,0,1,2,1,0,1,90,172,31,8
34,28,9,3,1,118,10,10,37,261756,87,0,1,0,0,0,0,83,172,29,3
22,7,10,4,4,179,26,9,30,265017,88,0,3,0,0,0,0,56,171,20,5
3,28,11,6,4,179,51,18,38,268519,93,0,1,0,1,0,0,89,170,31,1
12,18,12,2,4,233,51,1,31,280549,98,0,2,1,1,0,8,68,178,22,8
14,18,1,3,2,155,12,14,34,313532,96,0,1,2,1,0,0,95,196,25,8
3,27,2,5,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2
1,0,3,5,3,235,11,14,37,244387,98,1,3,1,0,0,1,88,172,30,3
1,22,4,6,3,235,11,14,37,246288,91,0,3,1,0,0,1,88,172,30,8
36,5,5,3,3,118,13,18,50,237656,99,0,1,1,1,0,0,98,178,31,3
2,0,6,2,3,235,29,12,48,275089,96,1,1,1,0,1,5,88,163,34,0
2,23,7,2,1,235,29,12,48,230290,92,0,1,1,0,1,5,88,163,34,1
5,26,8,3,1,235,20,13,43,249797,93,0,1,1,1,0,0,106,167,39,8
14,23,9,3,1,155,12,14,34,261756,87,0,1,2,1,0,0,95,196,25,2
36,23,10,5,4,118,13,18,50,265017,88,0,1,1,1,0,0,98,178,31,1
34,9,11,3,4,118,10,10,37,268519,93,0,1,0,0,0,0,83,172,29,8
22,13,12,3,4,179,26,9,30,280549,98,0,3,0,0,0,0,56,171,20,16
22,27,1,4,2,179,26,9,30,313532,96,0,3,0,0,0,0,56,171,20,2
22,27,2,5,2,179,26,9,30,264249,97,0,3,0,0,0,0,56,171,20,2
24,0,3,5,3,246,25,16,41,244387,98,1,1,0,1,0,0,67,170,24,0
22,27,4,6,3,179,26,9,30,246288,91,0,3,0,0,0,0,56,171,20,2
34,28,5,3,3,118,10,10,37,237656,99,0,1,0,0,0,0,83,172,29,1
21,0,6,2,3,268,11,8,33,275089,96,1,2,0,0,0,0,79,178,25,0
24,28,7,3,1,246,25,16,41,230290,92,0,1,0,1,0,0,67,170,24,2
15,28,8,5,1,291,31,12,40,249797,93,0,1,1,1,0,1,73,171,25,4
15,28,9,5,1,291,31,12,40,261756,87,0,1,1,1,0,1,73,171,25,2
32,4,10,5,4,289,48,29,49,284853,91,0,1,0,0,0,2,108,172,37,1
11,24,11,4,4,289,36,13,33,268519,93,0,1,2,1,0,1,90,172,31,8
28,23,12,3,4,225,26,9,28,280549,98,0,1,1,0,0,2,69,169,25,2
3,27,1,4,2,179,51,18,38,313532,96,0,1,0,1,0,0,89,170,31,3
29,28,2,6,2,225,15,15,41,264249,97,0,4,2,1,0,2,94,182,29,2
36,0,3,5,3,118,13,18,50,244387,98,1,1,1,1,0,0,98,178,31,0
28,19,4,2,3,225,26,9,28,246288,91,0,1,1,0,0,2,69,169,25,8
36,0,5,3,3,118,13,18,50,237656,99,1,1,1,1,0,0,98,178,31,0
36,19,6,5,3,118,13,18,50,275089,96,0,1,1,1,0,0,98,178,31,3
28,9,7,3,1,225,26,9,28,230290,92,0,1,1,0,0,2,69,169,25,112
3,25,8,2,1,179,51,18,38,249797,93,0,1,0,1,0,0,89,170,31,4
22,23,9,6,1,179,26,9,30,261756,87,0,3,0,0,0,0,56,171,20,8
25,11,10,5,4,235,16,8,32,284853,91,0,3,0,0,0,0,75,178,24,3
25,1,11,6,4,235,16,8,32,268519,93,0,3,0,0,0,0,75,178,24,8
28,23,12,5,4,225,26,9,28,280549,98,0,1,1,0,0,2,69,169,25,3
11,13,1,4,2,289,36,13,33,313532,96,0,1,2,1,0,1,90,172,31,8
3,27,2,6,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2
3,28,3,6,3,179,51,18,38,244387,98,0,1,0,1,0,0,89,170,31,8
25,16,4,3,3,235,16,8,32,246288,91,0,3,0,0,0,0,75,178,24,3
22,27,5,4,3,179,26,9,30,237656,99,0,3,0,0,0,0,56,171,20,2
22,13,6,5,3,179,26,9,30,275089,96,0,3,0,0,0,0,56,171,20,2
3,28,7,3,1,179,51,18,38,230290,92,0,1,0,1,0,0,89,170,31,1
17,25,8,3,1,179,22,17,40,249797,93,0,2,2,0,1,0,63,170,22,8
33,23,9,6,1,248,25,14,47,261756,87,0,1,2,0,0,1,86,165,32,1
24,26,10,6,4,246,25,16,41,284853,91,0,1,0,1,0,0,67,170,24,8
28,23,11,6,4,225,26,9,28,268519,93,0,1,1,0,0,2,69,169,25,4
28,23,12,2,4,225,26,9,28,280549,98,0,1,1,0,0,2,69,169,25,2
3,27,1,5,2,179,51,18,38,313532,96,0,1,0,1,0,0,89,170,31,3
12,19,2,2,2,233,51,1,31,264249,97,0,2,1,1,0,8,68,178,22,2
11,22,3,6,3,289,36,13,33,244387,98,0,1,2,1,0,1,90,172,31,8
22,27,4,6,3,179,26,9,30,246288,91,0,3,0,0,0,0,56,171,20,2
23,0,5,4,3,378,49,11,36,237656,99,1,1,2,0,1,4,65,174,22,0
15,28,6,5,3,291,31,12,40,275089,96,0,1,1,1,0,1,73,171,25,2
36,23,7,6,1,118,13,18,50,230290,92,0,1,1,1,0,0,98,178,31,1
18,23,8,5,1,330,16,4,28,249797,93,0,2,0,0,0,0,84,182,26,16
3,23,9,2,1,179,51,18,38,261756,87,0,1,0,1,0,0,89,170,31,4
32,14,10,4,4,289,48,29,49,284853,91,0,1,0,0,0,2,108,170,38,3
10,22,11,3,4,361,52,3,28,268519,93,0,1,1,1,0,4,80,172,28,8
14,18,12,3,2,155,12,14,34,280549,98,0,1,2,1,0,0,95,196,25,80
